kategori_makanan,tahun,week_start,week_end,ratarata_pengeluaran_per_kapita,iqr_low,iqr_high,expenditure_value,outlier_iqr
Bumbu-bumbuan/Spices,2024,01/01/2024,07/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,08/01/2024,14/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,15/01/2024,21/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,22/01/2024,28/01/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,29/01/2024,04/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,05/02/2024,11/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,12/02/2024,18/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,19/02/2024,25/02/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,26/02/2024,03/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,04/03/2024,10/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,11/03/2024,17/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,18/03/2024,24/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,25/03/2024,31/03/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,01/04/2024,07/04/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,08/04/2024,14/04/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,15/04/2024,21/04/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,22/04/2024,28/04/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,29/04/2024,05/05/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,06/05/2024,12/05/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,13/05/2024,19/05/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,20/05/2024,26/05/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,27/05/2024,02/06/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,03/06/2024,09/06/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,10/06/2024,16/06/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,17/06/2024,23/06/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,24/06/2024,30/06/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,01/07/2024,07/07/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,08/07/2024,14/07/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,15/07/2024,21/07/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,22/07/2024,28/07/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,29/07/2024,04/08/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,05/08/2024,11/08/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,12/08/2024,18/08/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,19/08/2024,25/08/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,26/08/2024,01/09/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
Bumbu-bumbuan/Spices,2024,02/09/2024,08/09/2024,3941.57377,3416.365918,4816.92019,3941.57377,FALSE
