tanggal,region,ump_daily,ump
2024-01-01,Jakarta Barat,163463.90322580645,5067381.0
2024-01-02,Jakarta Barat,163463.90322580645,5067381.0
2024-01-03,Jakarta Barat,163463.90322580645,5067381.0
2024-01-04,Jakarta Barat,163463.90322580645,5067381.0
2024-01-05,Jakarta Barat,163463.90322580645,5067381.0
2024-01-06,Jakarta Barat,163463.90322580645,5067381.0
2024-01-07,Jakarta Barat,163463.90322580645,5067381.0
2024-01-08,Jakarta Barat,163463.90322580645,5067381.0
2024-01-09,Jakarta Barat,163463.90322580645,5067381.0
2024-01-10,Jakarta Barat,163463.90322580645,5067381.0
2024-01-11,Jakarta Barat,163463.90322580645,5067381.0
2024-01-12,Jakarta Barat,163463.90322580645,5067381.0
2024-01-13,Jakarta Barat,163463.90322580645,5067381.0
2024-01-14,Jakarta Barat,163463.90322580645,5067381.0
2024-01-15,Jakarta Barat,163463.90322580645,5067381.0
2024-01-16,Jakarta Barat,163463.90322580645,5067381.0
2024-01-17,Jakarta Barat,163463.90322580645,5067381.0
2024-01-18,Jakarta Barat,163463.90322580645,5067381.0
2024-01-19,Jakarta Barat,163463.90322580645,5067381.0
2024-01-20,Jakarta Barat,163463.90322580645,5067381.0
2024-01-21,Jakarta Barat,163463.90322580645,5067381.0
2024-01-22,Jakarta Barat,163463.90322580645,5067381.0
2024-01-23,Jakarta Barat,163463.90322580645,5067381.0
2024-01-24,Jakarta Barat,163463.90322580645,5067381.0
2024-01-25,Jakarta Barat,163463.90322580645,5067381.0
2024-01-26,Jakarta Barat,163463.90322580645,5067381.0
2024-01-27,Jakarta Barat,163463.90322580645,5067381.0
2024-01-28,Jakarta Barat,163463.90322580645,5067381.0
2024-01-29,Jakarta Barat,163463.90322580645,5067381.0
2024-01-30,Jakarta Barat,163463.90322580645,5067381.0
2024-01-31,Jakarta Barat,163463.90322580645,5067381.0
2024-02-01,Jakarta Barat,174737.27586206896,5067381.0
2024-02-02,Jakarta Barat,174737.27586206896,5067381.0
2024-02-03,Jakarta Barat,174737.27586206896,5067381.0
2024-02-04,Jakarta Barat,174737.27586206896,5067381.0
2024-02-05,Jakarta Barat,174737.27586206896,5067381.0
2024-02-06,Jakarta Barat,174737.27586206896,5067381.0
2024-02-07,Jakarta Barat,174737.27586206896,5067381.0
2024-02-08,Jakarta Barat,174737.27586206896,5067381.0
2024-02-09,Jakarta Barat,174737.27586206896,5067381.0
2024-02-10,Jakarta Barat,174737.27586206896,5067381.0
2024-02-11,Jakarta Barat,174737.27586206896,5067381.0
2024-02-12,Jakarta Barat,174737.27586206896,5067381.0
2024-02-13,Jakarta Barat,174737.27586206896,5067381.0
2024-02-14,Jakarta Barat,174737.27586206896,5067381.0
2024-02-15,Jakarta Barat,174737.27586206896,5067381.0
2024-02-16,Jakarta Barat,174737.27586206896,5067381.0
2024-02-17,Jakarta Barat,174737.27586206896,5067381.0
2024-02-18,Jakarta Barat,174737.27586206896,5067381.0
2024-02-19,Jakarta Barat,174737.27586206896,5067381.0
2024-02-20,Jakarta Barat,174737.27586206896,5067381.0
2024-02-21,Jakarta Barat,174737.27586206896,5067381.0
2024-02-22,Jakarta Barat,174737.27586206896,5067381.0
2024-02-23,Jakarta Barat,174737.27586206896,5067381.0
2024-02-24,Jakarta Barat,174737.27586206896,5067381.0
2024-02-25,Jakarta Barat,174737.27586206896,5067381.0
2024-02-26,Jakarta Barat,174737.27586206896,5067381.0
2024-02-27,Jakarta Barat,174737.27586206896,5067381.0
2024-02-28,Jakarta Barat,174737.27586206896,5067381.0
2024-02-29,Jakarta Barat,174737.27586206896,5067381.0
2024-03-01,Jakarta Barat,163463.90322580645,5067381.0
2024-03-02,Jakarta Barat,163463.90322580645,5067381.0
2024-03-03,Jakarta Barat,163463.90322580645,5067381.0
2024-03-04,Jakarta Barat,163463.90322580645,5067381.0
2024-03-05,Jakarta Barat,163463.90322580645,5067381.0
2024-03-06,Jakarta Barat,163463.90322580645,5067381.0
2024-03-07,Jakarta Barat,163463.90322580645,5067381.0
2024-03-08,Jakarta Barat,163463.90322580645,5067381.0
2024-03-09,Jakarta Barat,163463.90322580645,5067381.0
2024-03-10,Jakarta Barat,163463.90322580645,5067381.0
2024-03-11,Jakarta Barat,163463.90322580645,5067381.0
2024-03-12,Jakarta Barat,163463.90322580645,5067381.0
2024-03-13,Jakarta Barat,163463.90322580645,5067381.0
2024-03-14,Jakarta Barat,163463.90322580645,5067381.0
2024-03-15,Jakarta Barat,163463.90322580645,5067381.0
2024-03-16,Jakarta Barat,163463.90322580645,5067381.0
2024-03-17,Jakarta Barat,163463.90322580645,5067381.0
2024-03-18,Jakarta Barat,163463.90322580645,5067381.0
2024-03-19,Jakarta Barat,163463.90322580645,5067381.0
2024-03-20,Jakarta Barat,163463.90322580645,5067381.0
2024-03-21,Jakarta Barat,163463.90322580645,5067381.0
2024-03-22,Jakarta Barat,163463.90322580645,5067381.0
2024-03-23,Jakarta Barat,163463.90322580645,5067381.0
2024-03-24,Jakarta Barat,163463.90322580645,5067381.0
2024-03-25,Jakarta Barat,163463.90322580645,5067381.0
2024-03-26,Jakarta Barat,163463.90322580645,5067381.0
2024-03-27,Jakarta Barat,163463.90322580645,5067381.0
2024-03-28,Jakarta Barat,163463.90322580645,5067381.0
2024-03-29,Jakarta Barat,163463.90322580645,5067381.0
2024-03-30,Jakarta Barat,163463.90322580645,5067381.0
2024-03-31,Jakarta Barat,163463.90322580645,5067381.0
2024-04-01,Jakarta Barat,168912.7,5067381.0
2024-04-02,Jakarta Barat,168912.7,5067381.0
2024-04-03,Jakarta Barat,168912.7,5067381.0
2024-04-04,Jakarta Barat,168912.7,5067381.0
2024-04-05,Jakarta Barat,168912.7,5067381.0
2024-04-06,Jakarta Barat,168912.7,5067381.0
2024-04-07,Jakarta Barat,168912.7,5067381.0
2024-04-08,Jakarta Barat,168912.7,5067381.0
2024-04-09,Jakarta Barat,168912.7,5067381.0
2024-04-10,Jakarta Barat,168912.7,5067381.0
2024-04-11,Jakarta Barat,168912.7,5067381.0
2024-04-12,Jakarta Barat,168912.7,5067381.0
2024-04-13,Jakarta Barat,168912.7,5067381.0
2024-04-14,Jakarta Barat,168912.7,5067381.0
2024-04-15,Jakarta Barat,168912.7,5067381.0
2024-04-16,Jakarta Barat,168912.7,5067381.0
2024-04-17,Jakarta Barat,168912.7,5067381.0
2024-04-18,Jakarta Barat,168912.7,5067381.0
2024-04-19,Jakarta Barat,168912.7,5067381.0
2024-04-20,Jakarta Barat,168912.7,5067381.0
2024-04-21,Jakarta Barat,168912.7,5067381.0
2024-04-22,Jakarta Barat,168912.7,5067381.0
2024-04-23,Jakarta Barat,168912.7,5067381.0
2024-04-24,Jakarta Barat,168912.7,5067381.0
2024-04-25,Jakarta Barat,168912.7,5067381.0
2024-04-26,Jakarta Barat,168912.7,5067381.0
2024-04-27,Jakarta Barat,168912.7,5067381.0
2024-04-28,Jakarta Barat,168912.7,5067381.0
2024-04-29,Jakarta Barat,168912.7,5067381.0
2024-04-30,Jakarta Barat,168912.7,5067381.0
2024-05-01,Jakarta Barat,163463.90322580645,5067381.0
2024-05-02,Jakarta Barat,163463.90322580645,5067381.0
2024-05-03,Jakarta Barat,163463.90322580645,5067381.0
2024-05-04,Jakarta Barat,163463.90322580645,5067381.0
2024-05-05,Jakarta Barat,163463.90322580645,5067381.0
2024-05-06,Jakarta Barat,163463.90322580645,5067381.0
2024-05-07,Jakarta Barat,163463.90322580645,5067381.0
2024-05-08,Jakarta Barat,163463.90322580645,5067381.0
2024-05-09,Jakarta Barat,163463.90322580645,5067381.0
2024-05-10,Jakarta Barat,163463.90322580645,5067381.0
2024-05-11,Jakarta Barat,163463.90322580645,5067381.0
